1, Which of the following statements for a simple graph is correct?,Every path is a trail,Every trail is a path,Every trail is a path as well as every path is a trail,Path and trail have no relation,d
2," In the given graph identify the cut vertices.
",B and E,C and D,A and E,C and B,c
3," For the given graph(G), which of the following statements is true?
",G is a complete graph,G is not a connected graph,The vertex connectivity of the graph is 2,The edge connectivity of the graph is 1,b
4,  What is the number of edges present in a complete graph having n vertices?,(n*(n+1))/2,(n*(n-1))/2,n,Information given is insufficient,a
7," A connected planar graph having 6 vertices, 7 edges contains _____________ regions.",15,3,1,11,a
8," If a simple graph G, contains n vertices and m edges, the number of edges in the Graph G'(Complement of G) is  ___________",(n*n-n-2*m)/2,(n*n+n+2*m)/2,(n*n-n-2*m)/2,(n*n-n+2*m)/2,a
9, Which of the following properties does a simple graph not hold?,Must be connected,Must be unweighted,Must have no loops or multiple edges,Must have no multiple edges,c
10, What is the maximum number of edges in a bipartite graph having 10 	vertices?,24,21,25,16,b
11, Which of the following is true?,A graph may contain no edges and many vertices,A graph may contain many edges and no vertices,A graph may contain no edges and no vertices,A graph may contain no vertices and many edges,b
12," For a given graph G having v vertices and e edges which is connected and has no cycles, which of the following statements is true?",v=e,v = e+1,v + 1 = e,v = e-1,a
13, For which of the following combinations of the degrees of vertices would the connected graph be eulerian?,"1,2,3","2,3,4","2,4,5","1,3,5",b
14, A graph with all vertices having equal degree is known as a __________,Multi Graph,Regular Graph,Simple Graph,Complete Graph,c
